Text	Emotion	Label
"I was feeling so happy about the little things today."	Joy	0
"I'm feeling overwhelmed and frustrated with all the tasks."	Anger	0
"Her smile always makes me feel so loved."	Love	0
"I can't shake off the sadness of losing my childhood pet."	Sadness	0
"That was the most unexpected turn of events!"	Surprise	0
"Every time I go into a new place, I feel a wave of fear."	Fear	0
"I feel so light-hearted, it's like I'm floating on 1r!"	Joy	1
"I'm so fed up with the constant disruptions in my life!"	Anger	1
"Love fills my heart when I think about my family."	Love	1
"There's a heavy sadness weighing down on me today."	Sadness	1
"Everything around me is so unpredictable, it caught me by surprise."	Surprise	1
"I feel my heart race every time I'm in a crowded place."	Fear	1
"I feel peaceful and content in this moment."	Joy	0
"I'm so mad at myself for missing that opportunity."	Anger	0
"Her words make me feel safe and cherished."	Love	0
"Feeling down today, like nothing is going right."	Sadness	0
"How did that even happen? I still can't believe it!"	Surprise	0
"I'm terrified of what could happen next."	Fear	0
"The joy of success feels so satisfying."	Joy	1
"Why do people always seem to make things more complicated?"	Anger	1
"My heart swells with love every time I see her smile."	Love	1
"Sadness floods over me when I think about the past."	Sadness	1
"The unexpected twist in the story had me shocked."	Surprise	1
"I dread the idea of going into a crowded room."	Fear	1
"I feel a deep sense of joy when I see my friends."	Joy	0
"That comment made me furious, how can they be so insensitive?"	Anger	0
"There's so much love in the way they care for each other."	Love	0
"I feel the sadness of missing someone dear to me."	Sadness	0
"I was completely stunned by their reaction."	Surprise	0
"The fear of future keeps me awake at night."	Fear	0
"I'm filled with joy at the thought of our future."	Joy	1
"People always make me angry when they don't listen."	Anger	1
"I can't stop thinking about how much I love you."	Love	1
"There's a profound sadness in watching everything unravel."	Sadness	1
"I didn't expect that outcome at all!"	Surprise	1
"The anxiety of w1ting is eating me up inside."	Fear	1
"I feel energized and happy today!"	Joy	0
"I am angry that I didn't stand up for myself."	Anger	0
"My heart is overflowing with love for those who support me."	Love	0
"Today, the sadness is almost too much to bear."	Sadness	0
"That plot twist was totally unexpected!"	Surprise	0
"I feel a sense of dread whenever I think about tomorrow."	Fear	0
"I'm overjoyed with how everything turned out."	Joy	1
"People's behavior is driving me insane today."	Anger	1
"My love for you is endless and unconditional."	Love	1
